Rank,SJR,Title,H index,Publisher,Areas,Categories
27,4.009,Journal of Supply Chain Management,104,Wiley-Blackwell,"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance","Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems (Q1); Management Information Systems (Q1); Marketing (Q1)"
201,1.545,Electronic Markets,49,Springer Verlag,"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance",Business and International Management (Q1); Computer Science Applications (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)
300,1.192,Telecommunications Policy,81,Elsevier Ltd.,"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Engineering; Environmental Science; Social Sciences","Economics and Econometrics (Q1); Electrical and Electronic Engineering (Q1); Human Factors and Ergonomics (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management, Monitoring, Policy and Law (Q1)"
317,1.17,Science Technology and Human Values,85,SAGE Publications Inc.,"Arts and Humanities; Computer Science; Economics, Econometrics and Finance; Engineering; Social Sciences",Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)
429,0.958,Journal of Innovation and Entrepreneurship,26,SpringerOpen,"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Social Sciences",Information Systems (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2)
475,0.888,ACM Transactions on Economics and Computation,19,Association for Computing Machinery (ACM),"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Mathematics",Computer Science (miscellaneous) (Q1); Statistics and Probability (Q1); Computational Mathematics (Q2); Economics and Econometrics (Q2); Marketing (Q2)
546,0.799,Journal of Electronic Commerce Research,41,California State University Press,"Computer Science; Economics, Econometrics and Finance","Economics, Econometrics and Finance (miscellaneous) (Q1); Computer Science Applications (Q2)"
566,0.772,Journal of Forecasting,66,John Wiley and Sons Ltd,"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance; Mathematics","Modeling and Simulation (Q1); Computer Science Applications (Q2); Economics and Econometrics (Q2); Management Science and Operations Research (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)"
621,0.704,Electronic Commerce Research,46,Kluwer Academic Publishers,"Computer Science; Economics, Econometrics and Finance","Economics, Econometrics and Finance (miscellaneous) (Q1); Human-Computer Interaction (Q2)"
627,0.699,Journal of Cultural Heritage,78,Elsevier Masson s.r.l.,"Arts and Humanities; Chemistry; Computer Science; Economics, Econometrics and Finance; Materials Science; Social Sciences","Anthropology (Q1); Archeology (arts and humanities) (Q1); Conservation (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Chemistry (miscellaneous) (Q2); Computer Science Applications (Q2); Materials Science (miscellaneous) (Q2); Spectroscopy (Q2)"
650,0.681,Journal of Financial Data Science,10,With intelligence,"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance","Artificial Intelligence (Q2); Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Finance (Q2); Information Systems (Q2); Information Systems and Management (Q2); Strategy and Management (Q2)"
709,0.621,Journal of Finance and Data Science,18,KeAi Communications Co.,"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Mathematics","Applied Mathematics (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q2); Economics and Econometrics (Q2); Finance (Q2); Statistics and Probability (Q2)"
763,0.583,Journal of Advanced Transportation,56,Hindawi Limited,"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Engineering",Automotive Engineering (Q2); Computer Science Applications (Q2); Economics and Econometrics (Q2); Mechanical Engineering (Q2); Strategy and Management (Q2)
