Rank,Title,H index,Publisher,Categories
279,Minds and Machines,48,Springer Netherlands,Artificial Intelligence (Q1); Philosophy (Q1)
309,International Journal of Social Robotics,68,Springer Verlag,Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Psychology (Q1)
317,Science Technology and Human Values,85,SAGE Publications Inc.,Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)
431,"Cognition, Technology and Work",45,Springer London,Philosophy (Q1); Computer Science Applications (Q2); Human-Computer Interaction (Q2)
638,AI and Society,39,Springer London,Philosophy (Q1); Artificial Intelligence (Q2); Human-Computer Interaction (Q2)
833,"Journal of Logic, Language and Information",33,Springer Netherlands,Linguistics and Language (Q1); Philosophy (Q1); Computer Science (miscellaneous) (Q2)
851,Journal of Consciousness Studies,72,Imprint Academic,"Philosophy (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Psychology (miscellaneous) (Q2); Artificial Intelligence (Q3)"
945,Adaptive Behavior,57,SAGE Publications Ltd,Philosophy (Q1); Artificial Intelligence (Q3); Experimental and Cognitive Psychology (Q3); Behavioral Neuroscience (Q4)
987,"Journal of Information, Communication and Ethics in Society",24,Emerald Group Publishing Ltd.,Philosophy (Q1); Communication (Q2); Sociology and Political Science (Q2); Computer Networks and Communications (Q3); E-learning (Q3)
1244,IEEE Annals of the History of Computing,27,IEEE Computer Society,History and Philosophy of Science (Q2); Computer Science (miscellaneous) (Q3)
1270,Horizon. Studies in Phenomenology,3,Saint Petersburg State University,Philosophy (Q2); Artificial Intelligence (Q3); Control and Optimization (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Energy Engineering and Power Technology (Q3); Signal Processing (Q3)
1343,Constructivist Foundations,21,Vrije Universiteit Brussel,History and Philosophy of Science (Q2); Multidisciplinary (Q2); Philosophy (Q2); Education (Q3); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4)
1476,Pragmatics and Cognition,37,John Benjamins Publishing Company,History and Philosophy of Science (Q2); Linguistics and Language (Q2); Computer Science (miscellaneous) (Q3); Behavioral Neuroscience (Q4)
1524,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",13,Accademia Peloritana dei Pericolanti,Agricultural and Biological Sciences (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); History and Philosophy of Science (Q3); Computer Science (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)
1792,Technoetic Arts,5,Intellect Ltd.,Visual Arts and Performing Arts (Q3); Computer Science Applications (Q4); Human-Computer Interaction (Q4); Philosophy (Q4)
