Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;19300156903;"Foundations and Trends in Machine Learning";journal;"19358245, 19358237";13,775;Q1;39;3;15;357;1037;15;47,50;119,00;11,11;0;0;United States;Northern America;"Now Publishers Inc";"2008-2023";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
2;23080;"Advances in Computers";book series;"00652458";9,308;Q1;42;42;119;1646;463;2;2,99;39,19;0,00;0;12;United States;Northern America;"Academic Press Inc.";"1960-1962, 1964, 1966-1967, 1969-1973, 1975-2000, 2002-2023";"Computer Science (miscellaneous) (Q1)";"Computer Science"
3;18902;"IEEE Journal on Selected Areas in Communications";journal;"07338716";7,656;Q1;263;242;685;11676;11180;660;17,09;48,25;25,44;0;26;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1983-2023";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
4;19600166419;"Foundations and Trends in Signal Processing";journal;"19328346, 19328354";6,676;Q1;20;3;6;335;87;6;19,50;111,67;42,86;0;1;United States;Northern America;"Now Publishers Inc";"2007-2014, 2016-2023";"Signal Processing (Q1)";"Computer Science"
5;21100831443;"Nature Biomedical Engineering";journal;"2157846X";6,625;Q1;116;142;441;7239;7313;330;17,94;50,98;35,26;4;51;United States;Northern America;"Nature Publishing Group";"2017-2023";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine"
6;18935;"IEEE Wireless Communications";journal;"15361284";6,556;Q1;188;138;467;1737;6619;430;12,50;12,59;24,76;0;32;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2023";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
7;21100886132;"Science Robotics";journal;"24709476";6,479;Q1;101;90;292;4518;5621;235;14,42;50,20;24,19;4;12;United States;Northern America;"American Association for the Advancement of Science";"2016-2023";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Mathematics"
8;4700152228;"Molecular Systems Biology";journal;"17444292";6,220;Q1;172;65;224;4390;2273;204;9,06;67,54;40,21;0;19;United Kingdom;Western Europe;"Springer Nature";"2005-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics; Medicine"
9;21101007236;"Nature Machine Intelligence";journal;"25225839";6,210;Q1;67;153;340;7112;6651;222;17,65;46,48;25,53;13;23;Switzerland;Western Europe;"Springer International Publishing";"2019-2023";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
10;24212;"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition";conference and proceedings;"10636919";5,952;-;531;2074;4421;113639;141205;4416;26,20;54,79;25,10;0;37;United States;Northern America;"IEEE Computer Society";"1992, 1994, 1996-2001, 2003-2004, 2006-2007, 2010-2022";"Computer Vision and Pattern Recognition; Software";"Computer Science"
11;25037;"IEEE Transactions on Evolutionary Computation";journal;"1089778X";5,767;Q1;210;126;242;6634;4231;239;13,49;52,65;24,13;0;7;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1997-2023";"Computational Theory and Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
12;18933;"IEEE Transactions on Wireless Communications";journal;"15361276, 15582248";5,662;Q1;251;760;1588;30168;18860;1587;11,54;39,69;26,80;0;97;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000, 2002-2023";"Applied Mathematics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering; Mathematics"
13;110561;"Proceedings of the IEEE International Conference on Computer Vision";conference and proceedings;"15505499";5,662;-;356;0;3064;0;59703;3058;10,22;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1988, 1995, 1998-1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015-2017, 2019, 2021";"Computer Vision and Pattern Recognition; Software";"Computer Science"
14;17915;"Proceedings of the IEEE";journal;"15582256, 00189219";5,564;Q1;325;93;344;11070;7576;336;22,97;119,03;18,67;0;17;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2023";"Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
15;21100274221;"IEEE Transactions on Cybernetics";journal;"21682275, 21682267";5,365;Q1;185;1105;1369;52059;21109;1369;15,05;47,11;29,13;0;63;United States;Northern America;"IEEE Advancing Technology for Humanity";"2013-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
16;5100155078;"Foundations and Trends in Computer Graphics and Vision";journal;"15722740";5,329;Q1;27;5;4;1853;118;4;53,50;370,60;29,41;0;1;United States;Northern America;"Now Publishers Inc";"2005-2007, 2009-2016, 2018-2023";"Computer Vision and Pattern Recognition (Q1)";"Computer Science"
17;17249;"IEEE Communications Magazine";journal;"01636804";5,285;Q1;282;171;686;1844;6996;561;10,60;10,78;21,01;0;30;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1979-2023";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
18;19700170610;"IEEE Transactions on Smart Grid";journal;"19493053";5,118;Q1;230;392;1472;13717;19532;1469;11,70;34,99;21,57;0;141;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2010-2023";"Computer Science (miscellaneous) (Q1)";"Computer Science"
19;144974;"Journal of Service Research";journal;"10946705, 15527379";4,981;Q1;148;39;95;3172;1339;85;14,30;81,33;46,22;0;6;United States;Northern America;"SAGE Publications Inc.";"1998-2023";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
20;15631;"International Journal of Information Management";journal;"02684012";4,906;Q1;177;82;546;9118;12989;529;23,24;111,20;31,36;5;21;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2024";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
21;5200152836;"Synthesis Lectures on Communication Networks";book series;"19354185";4,854;Q1;12;0;2;0;31;2;15,50;0,00;0,00;0;0;United States;Northern America;"Morgan and Claypool Publishers";"2006, 2009-2018, 2020";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1)";"Computer Science"
22;26099;"Information Fusion";journal;"18726305, 15662535";4,756;Q1;156;134;483;11983;10595;471;23,05;89,43;24,50;3;9;Netherlands;Western Europe;"Elsevier B.V.";"2000-2024";"Hardware and Architecture (Q1); Information Systems (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
23;21101101212;"AI Open";journal;"26666510";4,726;Q1;16;20;26;1425;869;24;33,42;71,25;38,27;1;1;China;Asiatic Region;"KeAi Communications Co.";"2020-2023";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
24;23038;"ACM Computing Surveys";journal;"03600300, 15577341";4,457;Q1;213;244;450;39787;9889;450;21,48;163,06;23,55;17;31;United States;Northern America;"Association for Computing Machinery (ACM)";"1969-2023";"Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
25;24254;"IEEE Transactions on Pattern Analysis and Machine Intelligence";journal;"01628828";4,447;Q1;417;645;823;43066;18672;814;22,09;66,77;23,60;0;16;United States;Northern America;"IEEE Computer Society";"1978-2023";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science; Mathematics"
26;21101081601;"PRX Quantum";journal;"26913399";4,415;Q1;46;218;274;17020;2687;270;9,81;78,07;16,21;0;3;United States;Northern America;"American Physical Society";"2020-2023";"Applied Mathematics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Mathematical Physics (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Computer Science; Engineering; Materials Science; Mathematics; Physics and Astronomy"
27;19400158592;"Mathematical Programming Computation";journal;"18672949, 18672957";4,377;Q1;44;21;58;1129;790;57;6,56;53,76;15,00;0;0;Germany;Western Europe;"Springer Verlag";"2009-2023";"Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
28;17339;"IEEE Transactions on Automatic Control";journal;"00189286, 15582523";4,334;Q1;329;666;1597;21646;11710;1596;6,41;32,50;18,34;0;25;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
29;27239;"IEEE Network";journal;"08908044, 1558156X";4,266;Q1;151;185;670;2438;7755;641;10,79;13,18;25,30;0;42;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1986-2023";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
30;12396;"Journal of Strategic Information Systems";journal;"09638687";4,011;Q1;107;21;75;1819;1343;62;7,49;86,62;17,65;1;2;Netherlands;Western Europe;"Elsevier B.V.";"1991-2023";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
31;100147317;"Journal of Supply Chain Management";journal;"15232409, 1745493X";4,009;Q1;112;21;56;2049;588;53;11,53;97,57;20,69;3;6;United States;Northern America;"Wiley-Blackwell";"1999-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
32;144912;"IEEE Transactions on Industrial Informatics";journal;"15513203";4,002;Q1;193;913;2130;28640;28637;2081;12,93;31,37;26,39;0;371;United States;Northern America;"IEEE Computer Society";"2005-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering"
33;12996;"IEEE Signal Processing Magazine";journal;"10535888";3,939;Q1;211;75;271;2074;3494;235;12,77;27,65;22,27;0;3;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1991-2023";"Applied Mathematics (Q1); Electrical and Electronic Engineering (Q1); Music (Q1); Signal Processing (Q1)";"Arts and Humanities; Computer Science; Engineering; Mathematics"
34;21101073279;"Annual Review of Control, Robotics, and Autonomous Systems";journal;"25735144";3,891;Q1;36;27;61;3222;984;61;14,84;119,33;18,29;2;6;United States;Northern America;"Annual Reviews Inc.";"2018-2023";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1)";"Computer Science; Engineering"
35;17700156773;"Synthesis Lectures on Artificial Intelligence and Machine Learning";book series;"19394616, 19394608";3,886;Q1;30;30;10;420;337;6;45,43;14,00;0,00;0;2;United States;Northern America;"Springer International Publishing";"2009-2023";"Artificial Intelligence (Q1)";"Computer Science"
36;12402;"MIS Quarterly: Management Information Systems";journal;"02767783, 21629730";3,793;Q1;271;75;191;6822;1914;188;8,23;90,96;27,19;0;13;United States;Northern America;"Management Information Systems Research Center";"1980-2021";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
37;21100338350;"IEEE Internet of Things Journal";journal;"23274662";3,747;Q1;179;1921;3218;82806;40727;3176;11,86;43,11;27,22;0;589;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2014-2023";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1); Signal Processing (Q1)";"Computer Science; Decision Sciences"
38;24972;"ACM Transactions on Graphics";journal;"15577368, 07300301";3,697;Q1;251;295;793;18739;8402;793;8,16;63,52;21,33;0;15;United States;Northern America;"Association for Computing Machinery (ACM)";"1982-2023";"Computer Graphics and Computer-Aided Design (Q1)";"Computer Science"
39;21100420802;"GigaScience";journal;"2047217X";3,697;Q1;88;133;411;8207;3910;411;8,81;61,71;38,78;0;39;United Kingdom;Western Europe;"Oxford University Press";"2012-2023";"Computer Science Applications (Q1); Health Informatics (Q1)";"Computer Science; Medicine"
40;21100262320;"IEEE Transactions on Systems, Man, and Cybernetics: Systems";journal;"21682216, 21682232";3,688;Q1;171;654;1391;29761;14989;1384;9,37;45,51;27,02;0;50;United States;Northern America;"IEEE Advancing Technology for Humanity";"2011-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
41;17645;"Computers and Education";journal;"03601315";3,682;Q1;232;185;608;14309;9431;606;14,65;77,35;47,74;14;81;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2023";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
42;19169;"Journal of Operations Management";journal;"18731317, 02726963";3,679;Q1;219;36;122;3277;949;113;6,49;91,03;25,23;2;8;Netherlands;Western Europe;"John Wiley &amp; Sons Inc.";"1980-1991, 1993-2023";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
43;22238;"Operations Research";journal;"0030364X, 15265463";3,579;Q1;161;193;305;8794;1335;305;3,27;45,56;16,09;2;15;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2023";"Computer Science Applications (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences"
44;21101012669;"npj Digital Medicine";journal;"23986352";3,552;Q1;84;192;439;9529;6785;376;15,63;49,63;35,17;21;72;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2023";"Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Health Professions; Medicine"
45;24242;"IEEE Transactions on Fuzzy Systems";journal;"10636706";3,533;Q1;218;440;828;20236;9534;820;10,97;45,99;27,94;0;17;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2023";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1)";"Computer Science; Engineering; Mathematics"
46;21100235616;"IEEE Transactions on Neural Networks and Learning Systems";journal;"2162237X, 21622388";3,447;Q1;251;909;1307;30798;18188;1296;12,99;33,88;28,19;0;43;United States;Northern America;"IEEE Computational Intelligence Society";"2012-2023";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1)";"Computer Science"
47;21100854831;"IEEE Transactions on Cognitive Communications and Networking";journal;"23327731";3,419;Q1;54;135;299;5717;2614;290;9,19;42,35;23,21;0;17;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2023";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1)";"Computer Science"
48;4000151805;"Foundations and Trends in Communications and Information Theory";journal;"15672190, 15672328";3,415;Q1;29;4;11;694;79;11;4,13;173,50;20,00;0;0;United States;Northern America;"Now Publishers Inc";"2004-2023";"Applied Mathematics (Q1); Computer Networks and Communications (Q1)";"Computer Science; Mathematics"
49;21101075718;"AVS Quantum Science";journal;"26390213";3,413;Q1;24;70;55;5282;532;53;9,60;75,46;18,67;1;3;United States;Northern America;"American Institute of Physics";"2019-2023";"Atomic and Molecular Physics, and Optics (Q1); Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Computer Science; Engineering; Materials Science; Physics and Astronomy"
50;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";3,369;Q1;221;150;413;11777;6847;399;17,31;78,51;26,89;0;9;Netherlands;Western Europe;"Springer Netherlands";"1987-2023";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science"
51;27843;"Annual Reviews in Control";journal;"13675788";3,343;Q1;103;52;179;6150;2172;166;10,72;118,27;18,00;0;7;United Kingdom;Western Europe;"Elsevier Ltd";"1996-2023";"Control and Systems Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
52;16965;"Internet and Higher Education";journal;"10967516";3,327;Q1;117;25;72;1811;870;72;11,51;72,44;43,08;1;11;United Kingdom;Western Europe;"Elsevier B.V.";"1998-2024";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
53;29161;"ISPRS Journal of Photogrammetry and Remote Sensing";journal;"09242716";3,308;Q1;187;260;737;17904;10882;732;14,23;68,86;29,02;3;79;Netherlands;Western Europe;"Elsevier B.V.";"1989-2023";"Atomic and Molecular Physics, and Optics (Q1); Computer Science Applications (Q1); Computers in Earth Sciences (Q1); Engineering (miscellaneous) (Q1); Geography, Planning and Development (Q1)";"Computer Science; Earth and Planetary Sciences; Engineering; Physics and Astronomy; Social Sciences"
54;21100827946;"npj Quantum Information";journal;"20566387";3,305;Q1;69;145;383;7628;3449;382;7,70;52,61;18,89;1;2;United Kingdom;Western Europe;"Nature Partner Journals";"2015-2023";"Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Computer Science (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1)";"Computer Science; Physics and Astronomy"
55;2300147402;"Proceedings of the Annual ACM Symposium on Theory of Computing";conference and proceedings;"07378017";3,260;-;122;136;372;5704;1996;366;5,04;41,94;16,29;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1969-1982, 1984, 1988, 1991-1994, 1996, 2000-2001, 2003-2023";"Software";"Computer Science"
56;15574;"Information Systems Research";journal;"15265536, 10477047";3,257;Q1;185;74;219;5461;1429;218;5,60;73,80;26,32;1;14;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1990-2023";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
57;21100367773;"IEEE/CAA Journal of Automatica Sinica";journal;"23299266, 23299274";3,218;Q1;83;212;442;9727;5207;437;13,13;45,88;28,73;0;19;United States;Northern America;"IEEE Advancing Technology for Humanity";"2014-2023";"Artificial Intelligence (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering; Mathematics"
58;17271;"Medical Image Analysis";journal;"13618415, 13618423";3,195;Q1;171;294;667;18551;9777;663;12,60;63,10;27,27;0;60;Netherlands;Western Europe;"Elsevier B.V.";"1996-2024";"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Health Informatics (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
59;26053;"IEEE Transactions on Industrial Electronics";journal;"02780046";3,194;Q1;341;1355;3195;40045;31065;3189;8,65;29,55;23,14;0;256;United States;Northern America;"IEEE Industrial Electronics Society";"1969-1978, 1982-2024";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
60;5100155071;"Foundations and Trends in Information Retrieval";journal;"15540669, 15540677";3,128;Q1;36;2;10;600;179;10;19,71;300,00;27,27;0;0;United States;Northern America;"Now Publishers Inc";"2006, 2008-2023";"Computer Science (miscellaneous) (Q1); Information Systems (Q1)";"Computer Science"
