paper,poster_session,project_page,url,keywords,authors
Hierarchical Patch Diffusion Models for High-Resolution Video Generation,Poster Session 2,No,,video generation,"Ivan Skorokhodov, Willi Menapace, Aliaksandr Siarohin, Sergey Tulyakov"
LucidDreamer: Towards High-Fidelity Text-to-3D Generation via Interval Score Matching,Poster Session 2,No,,3d generation,"Yixun Liang, Xin Yang, Jiantao Lin, Haodong LI, Xiaogang Xu, Ying-Cong Chen"
Towards a Simultaneous and Granular Identity-Expression Control in Personalized Face Generation,Poster Session 1,No,,personalized,"Renshuai Liu, Bowen Ma, Wei Zhang, Zhipeng Hu, Changjie Fan, Tangjie Lv, Yu Ding, Xuan Cheng"
DynVideo-E: Harnessing Dynamic NeRF for Large-Scale Motion- and View-Change Human-Centric Video Editing,Poster Session 2,No,,"nerf,human-centric","Jia-Wei Liu, Yan-Pei Cao, Jay Zhangjie Wu, Weijia Mao, Yuchao Gu, Rui Zhao, Jussi Keppo, Ying Shan, Mike Zheng Shou"
ConCon-Chi: Concept-Context Chimera Benchmark for Personalized Vision-Language Tasks,Poster Session 5,Yes,https://github.com/hsp-iit/concon-chi_benchmark,personalized,"Andrea Rosasco, Stefano Berti, Giulia Pasquale, Damiano Malafronte, Shogo Sato, Hiroyuki Segawa, Tetsugo Inada, Lorenzo Natale"
Human Gaussian Splatting: Real-time Rendering of Animatable Avatars,Poster Session 1,Yes,https://perezpellitero.github.io/projects/hugs/index.html,gaussian splatting,"Arthur Moreau, Jifei Song, Helisa Dhamo, Richard Shaw, Yiren Zhou, Eduardo Pérez-Pellitero"
When StyleGAN Meets Stable Diffusion: a W+ Adapter for Personalized Image Generation,Poster Session 1,Yes,https://github.com/csxmli2016/w-plus-adapter,personalized,"Xiaoming Li, Xinyu Hou, Chen Change Loy"
NeRF Analogies: Example-Based Visual Attribute Transfer for NeRFs,Poster Session 1,No,,nerf,"Michael Fischer, Zhengqin Li, Thu Nguyen-Phuoc, Aljaž Božič, Zhao Dong, Carl Marshall, Tobias Ritschel"
Text-to-3D Generation with Bidirectional Diffusion using both 2D and 3D priors,Poster Session 2,No,,3d generation,"Lihe Ding, Shaocong Dong, Zhanpeng Huang, Zibin Wang, Yiyuan Zhang, Kaixiong Gong, Dan Xu, Tianfan Xue"
Taming Stable Diffusion for Text to 360 Panorama Image Generation,Poster Session 2,No,,pano,"Cheng Zhang, Qianyi Wu, Camilo Cruz Gambardella, Xiaoshui Huang, Dinh Phung, Wanli Ouyang, Jianfei Cai"
BIVDiff: A Training-Free Framework for General-Purpose Video Synthesis via Bridging Image and Video Diffusion Models,Poster Session 2,Yes,https://github.com/MCG-NJU/BIVDiff,video synthesis,"Fengyuan Shi, Jiaxi Gu, Hang Xu, Songcen Xu, Wei Zhang, Limin Wang"
Fairy: Fast Parallelized Instruction-Guided Video-to-Video Synthesis,Poster Session 2,No,,video synthesis,"Bichen Wu, Ching-Yao Chuang, Xiaoyan Wang, Yichen Jia, Kapil Krishnakumar, Tong Xiao, Feng Liang, Licheng Yu, Peter Vajda"
3D Geometry-Aware Deformable Gaussian Splatting for Dynamic View Synthesis,Poster Session 2,No,,gaussian splatting,"Zhicheng Lu, xiang guo, Le Hui, Tianrui Chen, Min Yang, Xiao Tang, feng zhu, Yuchao Dai"
PlatoNeRF: 3D Reconstruction in Plato's Cave via Single-View Two-Bounce Lidar,Poster Session 4,Yes,https://platonerf.github.io/,nerf,"Tzofi Klinghoffer, Xiaoyu Xiang, Siddharth Somasundaram, Yuchen Fan, Christian Richardt, Ramesh Raskar, Rakesh Ranjan"
360+x: A Panoptic Multi-modal Scene Understanding Dataset,Poster Session 5,Yes,https://x360dataset.github.io/,pano,"Hao Chen, Yuqi Hou, Chenyuan Qu, Irene Testini, Xiaohan Hong, Jianbo Jiao"
Unifying Correspondence Pose and NeRF for Generalized Pose-Free Novel View Synthesis,Poster Session 5,Yes,https://ku-cvlab.github.io/CoPoNeRF/,nerf,"Sunghwan Hong, Jaewoo Jung, Heeseong Shin, Jiaolong Yang, Chong Luo, Seungryong Kim"
How Far Can We Compress Instant-NGP-Based NeRF?,Poster Session 5,No,,nerf,"Yihang Chen, Qianyi Wu, Mehrtash Harandi, Jianfei Cai"
L0-Sampler: An L0 Model Guided Volume Sampling for NeRF,Poster Session 5,No,,nerf,"Liangchen Li, Juyong Zhang"
Decentralized Directed Collaboration for Personalized Federated Learning,Poster Session 5,No,,personalized,"Yingqi Liu, Yifan Shi, Qinglun Li, Baoyuan Wu, Xueqian Wang, Li Shen"
Semantics Distortion and Style Matter: Towards Source-free UDA for Panoramic Segmentation,Poster Session 6,Yes,https://vlislab22.github.io/360SFUDA/,pano,"Xu Zheng, Pengyuan Zhou, ATHANASIOS, Addison, Lin Wang"
CoGS: Controllable Gaussian Splatting,Poster Session 5,Yes,https://cogs2024.github.io,gaussian splatting,"Heng Yu, Joel Julin, Zoltán Á. Milacski, Koichiro Niinuma, László A. Jeni"
PrPSeg: Universal Proposition Learning for Panoramic Renal Pathology Segmentation,Poster Session 3,No,,pano,"Ruining Deng, Quan Liu, Can Cui, Tianyuan Yao, Jialin Yue, Juming Xiong, Lining yu, Yifei Wu, Mengmeng Yin, Yu Wang, Shilin Zhao, Yucheng Tang, Haichun Yang, Yuankai Huo"
JeDi: Joint-Image Diffusion Models for Finetuning-Free Personalized Text-to-Image Generation,Poster Session 2,Yes,https://research.nvidia.com/labs/dir/jedi/,personalized,"Yu Zeng, Vishal M. Patel, Haochen Wang, Xun Huang, Ting-Chun Wang, Ming-Yu Liu, Yogesh Balaji"
TextNeRF: A Novel Scene-Text Image Synthesis Method based on Neural Radiance Fields,Poster Session 5,Yes,https://github.com/cuijl-ai/TextNeRF,"nerf,neural radiance","Jialei Cui, Jianwei Du, Wenzhuo Liu, Zhouhui Lian"
HUNTER: Unsupervised Human-centric 3D Detection via Transferring Knowledge from Synthetic Instances to Real Scenes,Poster Session 6,No,,human-centric,"Yichen Yao, Zimo Jiang, YUJING SUN, Zhencai Zhu, Xinge Zhu, Runnan Chen, Yuexin Ma"
GoodSAM: Bridging Domain and Capacity Gaps via Segment Anything Model for Distortion-aware Panoramic Semantic Segmentation,Poster Session 6,No,,pano,"WEIMING ZHANG, Yexin Liu, Xu Zheng, Addison, Lin Wang"
HiFi4G: High-Fidelity Human Performance Rendering via Compact Gaussian Splatting,Poster Session 5,Yes,https://nowheretrix.github.io/HiFi4G/,gaussian splatting,"Yuheng Jiang, Zhehao Shen, Penghao Wang, Zhuo Su, Yu Hong, Yingliang Zhang, Jingyi Yu, Lan Xu"
HumanGaussian: Text-Driven 3D Human Generation with Gaussian Splatting,Poster Session 2,Yes,https://alvinliu0.github.io/projects/HumanGaussian,gaussian splatting,"Xian Liu, Xiaohang Zhan, Jiaxiang Tang, Ying Shan, Gang Zeng, Dahua Lin, Xihui Liu, Ziwei Liu"
Interactive3D: Create What You Want by Interactive 3D Generation,Poster Session 2,No,,3d generation,"Shaocong Dong, Lihe Ding, Zhanpeng Huang, Zibin Wang, Tianfan Xue, Dan Xu"
PIA: Your Personalized Image Animator via Plug-and-Play Modules in Text-to-Image Models,Poster Session 2,No,,personalized,"Yiming Zhang, Zhening Xing, Yanhong Zeng, Youqing Fang, Kai Chen"
NeRFCodec: Neural Feature Compression Meets Neural Radiance Fields for Memory-Efficient Scene Representation,Poster Session 5,Yes,https://jasonlsc.github.io/nerfcodec_homepage/,"nerf,neural radiance","Sicheng Li, Hao Li, Yiyi Liao, Lu Yu"
HybridNeRF: Efficient Neural Rendering via Adaptive Volumetric Surfaces,Poster Session 5,Yes,https://haithemturki.com/hybrid-nerf/,nerf,"Haithem Turki, Vasu Agrawal, Samuel Rota Bulò, Lorenzo Porzi, Peter Kontschieder, Deva Ramanan, Michael Zollhoefer, Christian Richardt"
Triplane Meets Gaussian Splatting: Fast and Generalizable Single-View 3D Reconstruction with Transformers,Poster Session 3,Yes,https://zouzx.github.io/TriplaneGaussian/,gaussian splatting,"Zi-Xin Zou, Zhipeng Yu, Yuan-Chen Guo, Yangguang Li, Yan-Pei Cao, Ding Liang, Song-Hai Zhang"
ADFactory: An Effective Framework for Generalizing Optical Flow with NeRF,Poster Session 5,No,,nerf,"Han Ling, Quansen Sun, Yinghui Sun, Xian Xu, Xingfeng Li"
PFStorer: Personalized Face Restoration and Super-Resolution,Poster Session 1,No,,personalized,"Tuomas Varanka, Tapani Toivonen, Soumya Tripathy, Guoying Zhao, Erman Acar"
SpecNeRF: Gaussian Directional Encoding for Specular Reflections,Poster Session 5,Yes,https://limacv.github.io/SpecNeRF_web/,nerf,"Li Ma, Vasu Agrawal, Haithem Turki, Changil Kim, Chen Gao, Pedro V. Sander, Michael Zollhoefer, Christian Richardt"
Make Pixels Dance: High-Dynamic Video Generation,Poster Session 2,No,,video generation,"Yan Zeng, Guoqiang Wei, Jiani Zheng, Jiaxin Zou, Yang Wei, Yuchen Zhang, Hang Li"
Task-aligned Part-aware Panoptic Segmentation through Joint Object-Part Representations,Poster Session 1,Yes,https://www.tue-mps.org/tapps/,pano,"Daan de Geus, Gijs Dubbelman"
DaReNeRF: Direction-aware Representation for Dynamic Scenes,Poster Session 2,No,,nerf,"Ange Lou, Benjamin Planche, Zhongpai Gao, Yamin Li, Tianyu Luan, Hao Ding, Terrence Chen, Jack Noble, Ziyan Wu"
Diversified and Personalized Multi-rater Medical Image Segmentation,Poster Session 3,Yes,https://github.com/ycwu1997/D-Persona,personalized,"Yicheng Wu, Xiangde Luo, Zhe Xu, Xiaoqing Guo, Lie Ju, Zongyuan Ge, Wenjun Liao, Jianfei Cai"
SportsSloMo: A New Benchmark and Baselines for Human-centric Video Frame Interpolation,Poster Session 2,No,,human-centric,"Jiaben Chen, Huaizu Jiang"
Cinematic Behavior Transfer via NeRF-based Differentiable Filming,Poster Session 2,No,,nerf,"Xuekun Jiang, Anyi Rao, Jingbo Wang, Dahua Lin, Bo Dai"
InstantBooth: Personalized Text-to-Image Generation without Test-Time Finetuning,Poster Session 2,No,,personalized,"Jing Shi, Wei Xiong, Zhe Lin, HyunJoon Jung"
PaReNeRF: Toward Fast Large-scale Dynamic NeRF with Patch-based Reference,Poster Session 2,No,,nerf,"Xiao Tang, Min Yang, Penghui Sun, Hui Li, Yuchao Dai, feng zhu, Hojae Lee"
CAD: Photorealistic 3D Generation via Adversarial Distillation,Poster Session 3,Yes,http://raywzy.com/CAD/,3d generation,"Ziyu Wan, Despoina Paschalidou, Ian Huang, Hongyu Liu, Bokui Shen, Xiaoyu Xiang, Jing Liao, Leonidas Guibas"
Gaussian Splatting SLAM,Poster Session 4,Yes,https://rmurai.co.uk/projects/GaussianSplattingSLAM/,gaussian splatting,"Hidenobu Matsuki, Riku Murai, Paul Kelly, Andrew J. Davison"
360DVD: Controllable Panorama Video Generation with 360-Degree Video Diffusion Model,Poster Session 2,No,,"video generation,pano","Qian Wang, Weiqi Li, Chong Mou, Xinhua Cheng, Jian Zhang"
Hierarchical Spatio-temporal Decoupling for Text-to-Video Generation,Poster Session 2,No,,video generation,"Zhiwu Qing, Shiwei Zhang, Jiayu Wang, Xiang Wang, Yujie Wei, Yingya Zhang, Changxin Gao, Nong Sang"
Sherpa3D: Boosting High-Fidelity Text-to-3D Generation via Coarse 3D Prior,Poster Session 5,Yes,https://liuff19.github.io/Sherpa3D/,3d generation,"Fangfu Liu, Diankun Wu, Yi Wei, Yongming Rao, Yueqi Duan"
SCINeRF: Neural Radiance Fields from a Snapshot Compressive Image,Poster Session 3,No,,"nerf,neural radiance","Yunhao Li, Xiaodong Wang, Ping Wang, Xin Yuan, Peidong Liu"
PIE-NeRF: Physics-based Interactive Elastodynamics with NeRF,Poster Session 1,Yes,https://fytalon.github.io/pienerf/,nerf,"Yutao Feng, Yintong Shang, Xuan Li, Tianjia Shao, Chenfanfu Jiang, Yin Yang"
HUGS: Holistic Urban 3D Scene Understanding via Gaussian Splatting,Poster Session 5,No,,gaussian splatting,"Hongyu Zhou, Jiahao Shao, Lu Xu, Dongfeng Bai, Weichao Qiu, Bingbing Liu, Yue Wang, Andreas Geiger, Yiyi Liao"
DreamPropeller: Supercharge Text-to-3D Generation with Parallel Sampling,Poster Session 1,No,,3d generation,"Linqi Zhou, Andy Shih, Chenlin Meng, Stefano Ermon"
Improving Physics-Augmented Continuum Neural Radiance Field-Based Geometry-Agnostic System Identification with Lagrangian Particle Optimization,Poster Session 2,Yes,https://www.kecl.ntt.co.jp/people/kaneko.takuhiro/projects/lpo/,neural radiance,Takuhiro Kaneko
SimDA: Simple Diffusion Adapter for Efficient Video Generation,Poster Session 2,No,,video generation,"Zhen Xing, Qi Dai, Han Hu, Zuxuan Wu, Yu-Gang Jiang"
A Recipe for Scaling up Text-to-Video Generation with Text-free Videos,Poster Session 2,Yes,https://tf-t2v.github.io/,video generation,"Xiang Wang, Shiwei Zhang, Hangjie Yuan, Zhiwu Qing, Biao Gong, Yingya Zhang, Yujun Shen, Changxin Gao, Nong Sang"
Learned Scanpaths Aid Blind Panoramic Video Quality Assessment,Poster Session 1,Yes,https://github.com/kalofan/AutoScanpathQA,pano,"Kanglong FAN, Wen Wen, Mu Li, YIFAN PENG, Kede Ma"
Depth-Aware Concealed Crop Detection in Dense Agricultural Scenes,Poster Session 4,Yes,https://github.com/Kki2Eve/RISNet,cultural,"Liqiong Wang, Jinyu Yang, Yanfu Zhang, Fangyi Wang, Feng Zheng"
Mitigating Motion Blur in Neural Radiance Fields with Events and Frames,Poster Session 2,Yes,https://github.com/uzh-rpg/EvDeblurNeRF,neural radiance,"Marco Cannici, Davide Scaramuzza"
FedSelect: Personalized Federated Learning with Customized Selection of Parameters for Fine-Tuning,Poster Session 5,No,,personalized,"Rishub Tamirisa, Chulin Xie, Wenxuan Bao, Andy Zhou, Ron Arel, Aviv Shamsian"
FedAS: Bridging Inconsistency in Personalized Federated Learning,Poster Session 3,Yes,https://github.com/xiyuanyang45/FedAS,personalized,"Xiyuan Yang, Wenke Huang, Mang Ye"
LangSplat: 3D Language Gaussian Splatting,Poster Session 5,Yes,https://langsplat.github.io/,gaussian splatting,"Minghan Qin, Wanhua Li, Jiawei ZHOU, Haoqian Wang, Hanspeter Pfister"
Entangled View-Epipolar Information Aggregation for Generalizable Neural Radiance Fields,Poster Session 2,Yes,https://github.com/tatakai1/EVENeRF,neural radiance,"Zhiyuan Min, Yawei Luo, Wei Yang, Yuesong Wang, Yi Yang"
SIGNeRF: Scene Integrated Generation for Neural Radiance Fields,Poster Session 2,Yes,https://signerf.jdihlmann.com/,"nerf,neural radiance","Jan-Niklas Dihlmann, Andreas Engelhardt, Hendrik Lensch"
4D Gaussian Splatting for Real-Time Dynamic Scene Rendering,Poster Session 5,Yes,guanjunwu.github.io/4dgs,gaussian splatting,"Guanjun Wu, Taoran Yi, Jiemin Fang, Lingxi Xie, Xiaopeng Zhang, Wei Wei, Wenyu Liu, Qi Tian, Xinggang Wang"
GSNeRF: Generalizable Semantic Neural Radiance Fields with Enhanced 3D Scene Understanding,Poster Session 5,Yes,https://timchou-ntu.github.io/gsnerf/,"nerf,neural radiance","Zi-Ting Chou, Sheng-Yu Huang, I-Jieh Liu, Yu-Chiang Frank Wang"
Alpha Invariance: On Inverse Scaling Between Distance and Volume Density in Neural Radiance Fields,Poster Session 5,Yes,https://pals.ttic.edu/p/alpha-invariance,neural radiance,"Joshua Ahn, Haochen Wang, Raymond A. Yeh, Greg Shakhnarovich"
Mip-Splatting: Alias-free 3D Gaussian Splatting,Poster Session 5,Yes,https://niujinshuchong.github.io/mip-splatting/,gaussian splatting,"Zehao Yu, Anpei Chen, Binbin Huang, Torsten Sattler, Andreas Geiger"
NeRF-HuGS: Improved Neural Radiance Fields in Non-static Scenes Using Heuristics-Guided Segmentation,Poster Session 5,No,,"nerf,neural radiance","Jiahao Chen, Yipeng Qin, Lingjie Liu, Jiangbo Lu, Guanbin Li"
Consistent3D: Towards Consistent High-Fidelity Text-to-3D Generation with Deterministic Sampling Prior,Poster Session 3,No,,3d generation,"Zike Wu, Pan Zhou, YI Xuanyu, Xiaoding Yuan, Hanwang Zhang"
DiSR-NeRF: Diffusion-Guided View-Consistent Super-Resolution NeRF,Poster Session 5,No,,nerf,"Jie Long Lee, Chen Li, Gim Hee Lee"
PanoRecon: Real-Time Panoptic 3D Reconstruction from Monocular Video,Poster Session 5,No,,pano,"Dong Wu, Zike Yan, Hongbin Zha"
DIRECT-3D: Learning Direct Text-to-3D Generation on Massive Noisy 3D Data,Poster Session 2,Yes,https://direct-3d.github.io/,3d generation,"Qihao Liu, Yi Zhang, Song Bai, Adam Kortylewski, Alan L. Yuille"
GaussianShader: 3D Gaussian Splatting with Shading Functions for Reflective Surfaces,Poster Session 2,No,,gaussian splatting,"Yingwenqi Jiang, Jiadong Tu, Yuan Liu, Xifeng Gao, Xiaoxiao Long, Wenping Wang, Yuexin Ma"
DiffusionGAN3D: Boosting Text-guided 3D Generation and Domain Adaptation by Combining 3D GANs and Diffusion Priors,Poster Session 3,No,,3d generation,"Biwen Lei, Kai Yu, Mengyang Feng, Miaomiao Cui, Xuansong Xie"
3DGS-Avatar: Animatable Avatars via Deformable 3D Gaussian Splatting,Poster Session 2,No,,gaussian splatting,"Zhiyin Qian, Shaofei Wang, Marko Mihajlovic, Andreas Geiger, Siyu Tang"
IReNe: Instant Recoloring of Neural Radiance Fields,Poster Session 2,Yes,https://iviazz97.github.io/irene/,neural radiance,"Alessio Mazzucchelli, Adrian Garcia-Garcia, Elena Garces, Fernando Rivas-Manzaneque, Francesc Moreno-Noguer, Adrian Penate-Sanchez"
LidaRF: Delving into Lidar for Neural Radiance Field on Street Scenes,Poster Session 5,Yes,https://siwensun.github.io/lidarf-project/,neural radiance,"Shanlin Sun, Bingbing Zhuang, Ziyu Jiang, Buyu Liu, Xiaohui Xie, Manmohan Chandraker"
FineParser: A Fine-grained Spatio-temporal Action Parser for Human-centric Action Quality Assessment,Poster Session 4,No,,human-centric,"Jinglin Xu, Sibo Yin, Guohao Zhao, Zishuo Wang, Yuxin Peng"
Sculpt3D: Multi-View Consistent Text-to-3D Generation with Sparse 3D Prior,Poster Session 3,No,,3d generation,"Chen Cheng, Xiaofeng Yang, Fan Yang, Chengzeng Feng, ZHOUJIE FU, Chuan-Sheng Foo, Guosheng Lin, Fayao Liu"
GP-NeRF: Generalized Perception NeRF for Context-Aware 3D Scene Understanding,Poster Session 5,No,,nerf,"Hao Li, Dingwen Zhang, Yalun Dai, Nian Liu, Lechao Cheng, Li Jingfeng, Jingdong Wang, Junwei Han"
MicroCinema: A Divide-and-Conquer Approach for Text-to-Video Generation,Poster Session 2,No,,video generation,"Yanhui Wang, Jianmin Bao, Wenming Weng, Ruoyu Feng, Dacheng Yin, Tao Yang, Jingxu Zhang, Qi Dai, Zhiyuan Zhao, Chunyu Wang, Kai Qiu, Yuhui Yuan, Xiaoyan Sun, Chong Luo, Baining Guo"
PI3D: Efficient Text-to-3D Generation with Pseudo-Image Diffusion,Poster Session 5,No,,3d generation,"Ying-Tian Liu, Yuan-Chen Guo, Guan Luo, Heyi Sun, Wei Yin, Song-Hai Zhang"
SyncMask: Synchronized Attentional Masking for Fashion-centric Vision-Language Pretraining,Poster Session 3,No,,fashion,"Chull Hwan Song, Taebaek Hwang, Jooyoung Yoon, Shunghyun Choi, Yeong Hyeon Gu"
Countering Personalized Text-to-Image Generation with Influence Watermarks,Poster Session 3,No,,personalized,"Hanwen Liu, Zhicheng Sun, Yadong Mu"
Snap Video: Scaled Spatiotemporal Transformers for Text-to-Video Synthesis,Poster Session 2,No,,video synthesis,"Willi Menapace, Aliaksandr Siarohin, Ivan Skorokhodov, Ekaterina Deyneka, Tsai-Shien Chen, Anil Kag, Yuwei Fang, Aleksei Stoliar, Elisa Ricci, Jian Ren, Sergey Tulyakov"
A Unified Framework for Human-centric Point Cloud Video Understanding,Poster Session 1,No,,human-centric,"Yiteng Xu, Kecheng Ye, xiao han, yiming ren, Xinge Zhu, Yuexin Ma"
SplattingAvatar: Realistic Real-Time Human Avatars with Mesh-Embedded Gaussian Splatting,Poster Session 1,Yes,https://initialneil.github.io/SplattingAvatar,gaussian splatting,"Zhijing Shao, Wang Zhaolong, Zhuang Li, Duotun Wang, Xiangru Lin, Yu Zhang, Mingming Fan, Zeyu Wang"
DrivingGaussian: Composite Gaussian Splatting for Surrounding Dynamic Autonomous Driving Scenes,Poster Session 5,No,,gaussian splatting,"Xiaoyu Zhou, Zhiwei Lin, Xiaojun Shan, Yongtao Wang, Deqing Sun, Ming-Hsuan Yang"
JRDB-PanoTrack: An Open-world Panoptic Segmentation and Tracking Robotic Dataset in Crowded Human Environments,Poster Session 5,No,,pano,"Duy Tho Le, Chenhui Gou, Stavya Datta, Hengcan Shi, Ian Reid, Jianfei Cai, Hamid Rezatofighi"
NeRFDeformer: NeRF Transformation from a Single View via 3D Scene Flows,Poster Session 3,No,,nerf,"Zhenggang Tang, Jason Ren, Xiaoming Zhao, Bowen Wen, Jonathan Tremblay, Stan Birchfield, Alexander G. Schwing"
PEEKABOO: Interactive Video Generation via Masked-Diffusion,Poster Session 2,No,,video generation,"Yash Jain, Anshul Nasery, Vibhav Vineet, Harkirat Behl"
VP3D: Unleashing 2D Visual Prompt for Text-to-3D Generation,Poster Session 2,Yes,https://vp3d-cvpr24.github.io/,3d generation,"Yang Chen, Yingwei Pan, haibo yang, Ting Yao, Tao Mei"
Generative Rendering: Controllable 4D-Guided Video Generation with 2D Diffusion Models,Poster Session 2,Yes,https://primecai.github.io/generative_rendering/,video generation,"Shengqu Cai, Duygu Ceylan, Matheus Gadelha, Chun-Hao P. Huang, Tuanfeng Y. Wang, Gordon Wetzstein"
Global and Hierarchical Geometry Consistency Priors for Few-shot NeRFs in Indoor Scenes,Poster Session 5,No,,nerf,"Xiaotian Sun, Qingshan Xu, Xinjie Yang, Yu Zang, Cheng Wang"
Animate Anyone: Consistent and Controllable Image-to-Video Synthesis for Character Animation,Poster Session 2,No,,video synthesis,Li Hu
GPT-4V(ision) is a Human-Aligned Evaluator for Text-to-3D Generation,Poster Session 5,No,,3d generation,"Tong Wu, Guandao Yang, Zhibing Li, Kai Zhang, Ziwei Liu, Leonidas Guibas, Dahua Lin, Gordon Wetzstein"
SpikeNeRF: Learning Neural Radiance Fields from Continuous Spike Stream,Poster Session 2,No,,"nerf,neural radiance","Lin Zhu, Kangmin Jia, Yifan Zhao, Yunshan Qi, Lizhi Wang, Hua Huang"
PanoPose: Self-supervised Relative Pose Estimation for Panoramic Images,Poster Session 5,No,,pano,"Diantao Tu, Hainan Cui, Xianwei Zheng, Shuhan Shen"
Fully Geometric Panoramic Localization,Poster Session 5,Yes,https://82magnolia.github.io/fgpl/,pano,"Junho Kim, Jiwon Jeong, Young Min Kim"
NeRF Director: Revisiting View Selection in Neural Volume Rendering,Poster Session 5,Yes,https://wenwhx.github.io/nerfdirector/,nerf,"Wenhui Xiao, Rodrigo Santa Cruz, David Ahmedt-Aristizabal, Olivier Salvado, Clinton Fookes, Leo Lebrat"
ECLIPSE: Efficient Continual Learning in Panoptic Segmentation with Visual Prompt Tuning,Poster Session 1,Yes,https://github.com/clovaai/ECLIPSE,pano,"Beomyoung Kim, Joonsang Yu, Sung Ju Hwang"
Text-to-3D using Gaussian Splatting,Poster Session 5,Yes,https://gsgen3d.github.io/,gaussian splatting,"Zilong Chen, Feng Wang, Yikai Wang, Huaping Liu"
Co-Speech Gesture Video Generation via Motion-Decoupled Diffusion Model,Poster Session 1,No,,video generation,"Xu He, Qiaochu Huang, Zhensong Zhang, Zhiwei Lin, Zhiyong Wu, Sicheng Yang, Minglei Li, Zhiyi Chen, Songcen Xu, Xiaofei Wu"
DiffPerformer: Iterative Learning of Consistent Latent Guidance for Diffusion-based Human Video Generation,Poster Session 2,No,,video generation,"Chenyang Wang, Zerong Zheng, Tao Yu, Xiaoqian Lv, Bineng Zhong, Shengping Zhang, Liqiang Nie"
DyBluRF: Dynamic Neural Radiance Fields from Blurry Monocular Video,Poster Session 2,No,,neural radiance,"Huiqiang Sun, Xingyi Li, Liao Shen, Xinyi Ye, Ke Xian, Zhiguo Cao"
Compressed 3D Gaussian Splatting for Accelerated Novel View Synthesis,Poster Session 3,Yes,https://keksboter.github.io/c3dgs/,gaussian splatting,"Simon Niedermayr, Josef Stumpfegger, rüdiger westermann"
PanoOcc: Unified Occupancy Representation for Camera-based 3D Panoptic Segmentation,Poster Session 4,No,,pano,"Yuqi Wang, Yuntao Chen, Xingyu Liao, Lue Fan, Zhaoxiang Zhang"
Customize your NeRF: Adaptive Source Driven 3D Scene Editing via Local-Global Iterative Training,Poster Session 2,Yes,https://customnerf.github.io/,nerf,"Runze He, Shaofei Huang, Xuecheng Nie, Tianrui Hui, Luoqi Liu, Jiao Dai, Jizhong Han, Guanbin Li, Si Liu"
SC-GS: Sparse-Controlled Gaussian Splatting for Editable Dynamic Scenes,Poster Session 1,Yes,https://yihua7.github.io/SC-GS-web/,gaussian splatting,"Yihua Huang, Yangtian Sun, Ziyi Yang, Xiaoyang Lyu, Yan-Pei Cao, Xiaojuan Qi"
Geometry-aware Reconstruction and Fusion-refined Rendering for Generalizable Neural Radiance Fields,Poster Session 2,No,,neural radiance,"TIANQI LIU, Xinyi Ye, Min Shi, Zihao Huang, Zhiyu Pan, Zhan Peng, Zhiguo Cao"
VideoBooth: Diffusion-based Video Generation with Image Prompts,Poster Session 2,No,,video generation,"Yuming Jiang, Tianxing Wu, Shuai Yang, Chenyang Si, Dahua Lin, Yu Qiao, Chen Change Loy, Ziwei Liu"
